epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2371.67,1.40542,2.80193,1.49388,0.38341,0.37081,0.32639,0.15395,1.76801,2.54075,1.71896,0.00023654,0.00023654,0.00023654
2,4105.54,1.31437,1.86445,1.44226,0.55244,0.41061,0.42472,0.1915,1.88877,2.25643,1.82311,0.000455748,0.000455748,0.000455748
3,6164.98,1.27223,1.67935,1.40884,0.58659,0.43068,0.45875,0.2007,1.91028,2.11828,1.89282,0.000656107,0.000656107,0.000656107
4,45718,1.24915,1.58634,1.38507,0.64548,0.46659,0.50801,0.24174,1.79394,1.96601,1.79291,0.000629177,0.000629177,0.000629177
5,47394.5,1.22072,1.51482,1.36076,0.6921,0.53216,0.58709,0.27354,1.86256,1.74283,1.77937,0.000600902,0.000600902,0.000600902
6,48787.7,1.18665,1.42897,1.33725,0.68404,0.56191,0.58597,0.25818,1.92609,1.74777,1.86477,0.000572628,0.000572628,0.000572628
7,50103.4,1.17148,1.3647,1.32224,0.69026,0.53123,0.58852,0.27596,1.78847,1.68748,1.73777,0.000544354,0.000544354,0.000544354
8,52384.1,1.148,1.33113,1.30855,0.74086,0.56959,0.59534,0.266,1.8361,1.77572,1.75681,0.000516079,0.000516079,0.000516079
9,53731.4,1.12351,1.28588,1.29484,0.72416,0.60271,0.62749,0.2862,1.81157,1.50709,1.74035,0.000487805,0.000487805,0.000487805
10,55139.3,1.1058,1.23052,1.27507,0.81373,0.56057,0.63844,0.29901,1.71205,1.46763,1.68399,0.00045953,0.00045953,0.00045953
11,56709.9,1.09445,1.20583,1.26991,0.82196,0.59082,0.6616,0.34659,1.64483,1.3766,1.61612,0.000431256,0.000431256,0.000431256
12,60112.5,1.08421,1.17828,1.25625,0.81262,0.59632,0.65546,0.33652,1.64387,1.35466,1.61505,0.000402982,0.000402982,0.000402982
13,62937.6,1.06758,1.15296,1.25106,0.79093,0.57969,0.63772,0.33,1.66976,1.43059,1.61918,0.000374707,0.000374707,0.000374707
14,65618.5,1.06463,1.11695,1.24193,0.79295,0.60238,0.66585,0.36607,1.56613,1.26128,1.54639,0.000346433,0.000346433,0.000346433
15,75300.5,1.0419,1.08848,1.22991,0.81087,0.60225,0.67074,0.35614,1.64013,1.2427,1.58709,0.000318158,0.000318158,0.000318158
16,79631.5,1.08505,1.04687,1.25534,0.84264,0.58511,0.67704,0.36699,1.56779,1.28317,1.56346,0.000289884,0.000289884,0.000289884
17,80763.2,1.06309,0.99009,1.23851,0.80343,0.62797,0.69065,0.34464,1.63368,1.2338,1.61316,0.00026161,0.00026161,0.00026161
18,82376.6,1.04115,0.95457,1.2253,0.83713,0.62259,0.6929,0.3928,1.48384,1.19753,1.4869,0.000233335,0.000233335,0.000233335
19,83834.8,1.02562,0.92202,1.21265,0.78156,0.64902,0.70794,0.35978,1.66438,1.18759,1.61432,0.000205061,0.000205061,0.000205061
20,85312.7,1.00735,0.89627,1.20291,0.81405,0.65329,0.71129,0.38838,1.52373,1.11626,1.51403,0.000176786,0.000176786,0.000176786
